Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
161,"team533 电子科技大学",5,12:21:55,,"03:16:40 (-9)",,,,,,"00:18:30 (-1)","01:33:11 (-2)","01:59:17 (-2)","00:14:17 (-1)",
162,"team205 苏州大学",5,12:23:27,,"02:48:53 (-4)",,,,,,"00:19:16 (-1)","00:45:22 (-1)","04:58:26 (-2)","00:31:30 (-1)",
163,"team455 北京化工大学",5,12:30:01,,"03:45:41 (-1)",,,,,,"00:50:55 (-1)",00:56:18,"04:32:42 (-3)","00:24:25 (-1)",
164,"team152 清华大学附属中学",5,12:32:45,(-15),01:01:27,,,,,,"00:36:11 (-2)","01:24:22 (-5)","04:59:52 (-5)",00:30:53,
165,"team836 南京邮电大学",5,12:43:37,,"03:39:25 (-4)",,,,,,00:21:12,02:04:22,03:06:23,"00:52:15 (-4)",
166,"team635 南阳理工学院",5,12:44:41,,"01:23:31 (-1)",,,,,,"01:01:46 (-3)","02:33:44 (-2)","04:31:34 (-1)","00:34:06 (-1)",
167,"team790 香港科技大学（广州）",5,12:48:52,,"00:51:46 (-1)",,,,,,00:32:39,"03:13:09 (-5)","04:32:57 (-2)","00:18:21 (-2)",
168,"team764 义乌中学",5,12:52:25,,"02:29:27 (-2)",,,,,,00:10:03,"01:32:10 (-2)","04:31:24 (-5)","00:29:21 (-2)",
169,"team296 南方科技大学",5,12:54:24,,"01:28:31 (-1)",,,,,,01:07:21,"04:19:31 (-5)",03:01:51,"00:37:10 (-1)",
170,"team781 浙江财经大学",5,13:17:03,,"02:15:25 (-2)",,,,,,"00:31:40 (-1)","01:27:10 (-6)","04:28:10 (-2)","00:14:38 (-2)",
